12881,Yulong Park,10149,Bundoora District
12450,Bacchus Marsh,10157,Buninyong District
12768,Ballan,10157,Buninyong District
13973,Bungaree,10157,Buninyong District
12483,Buninyong,10157,Buninyong District
12803,Caledonian,10157,Buninyong District
12441,Canadian,10157,Buninyong District
12927,Cape Clear,10157,Buninyong District
12645,Clarkes Hill,10157,Buninyong District
12994,Dereel,10157,Buninyong District
13089,Elaine,10157,Buninyong District
13707,Gordon,10157,Buninyong District
12375,Haddon,10157,Buninyong District
12709,Lethbridge,10157,Buninyong District
13643,Linton,10157,Buninyong District
12859,Magpie,10157,Buninyong District
13413,Meredith,10157,Buninyong District
13201,Mount Clear,10157,Buninyong District
13817,Mount Egerton,10157,Buninyong District
12644,Mount Pleasant,10157,Buninyong District
13335,Mount Wallace,10157,Buninyong District
12400,Myrniong,10157,Buninyong District
12402,Napoleons,10157,Buninyong District
13135,Redan,10157,Buninyong District
13383,Ross Creek,10157,Buninyong District
13118,Scarsdale,10157,Buninyong District
13561,Sebastopol,10157,Buninyong District
13717,Smythesdale,10157,Buninyong District
12420,Springbank,10157,Buninyong District
12329,The Stockade,10157,Buninyong District
12628,Warrenheip,10157,Buninyong District
12245,Alamein,10188,Burwood District
13179,Ashburton,10188,Burwood District
12485,Ashwood,10188,Burwood District
12953,Box Hill South,10188,Burwood District
13823,Burwood,10188,Burwood District
12668,Burwood Central,10188,Burwood District
12747,Chatham South,10188,Burwood District
13539,Elgar Park,10188,Burwood District
12257,Glen Iris,10188,Burwood District
13367,Glen Iris South,10188,Burwood District
13233,Hartwell,10188,Burwood District
13123,Highfield,10188,Burwood District
12671,Jordanville South,10188,Burwood District
12840,Starling,10188,Burwood District
12312,Surrey Hills,10188,Burwood District
12320,Wattle Park,10188,Burwood District
13977,Banyan Fields,10125,Carrum District
13915,Belvedere Park,10125,Carrum District
12422,Bonbeach,10125,Carrum District
12323,Carrum,10125,Carrum District
13458,Carrum Downs,10125,Carrum District
12816,Carrum Downs Central,10125,Carrum District
12536,Chelsea Central,10125,Carrum District
13641,Kananook,10125,Carrum District
12451,Lyrebird,10125,Carrum District
13199,Patterson Lakes,10125,Carrum District
13197,Rowellyn Park,10125,Carrum District
13351,Seaford,10125,Carrum District
12398,Seaford North,10125,Carrum District
13326,Skye,10125,Carrum District
13263,Bundeera,10139,Caulfield District
13593,Caulfield East,10139,Caulfield District
12224,Caulfield North,10139,Caulfield District
13765,Caulfield South,10139,Caulfield District
13412,Caulfield Upper,10139,Caulfield District
13449,Caulfield West,10139,Caulfield District
13363,Clarence,10139,Caulfield District
13301,Elsternwick,10139,Caulfield District
12376,Elsternwick North,10139,Caulfield District
13605,Glen Eira,10139,Caulfield District
13185,Glenhuntly East,10139,Caulfield District
12976,Ormond,10139,Caulfield District
12498,Ripponlea East,10139,Caulfield District
12465,St Kilda,10139,Caulfield District
13299,Cheltenham East,10169,Clarinda District
12721,Cheltenham North,10169,Clarinda District
14011,Clarinda,10169,Clarinda District
13061,Clarinda South,10169,Clarinda District
13236,Clayton,10169,Clarinda District
13480,Clayton East,10169,Clarinda District
12756,Clayton North,10169,Clarinda District
13821,Clayton South,10169,Clarinda District
12279,Coatesville,10169,Clarinda District
13372,Davies Reserve,10169,Clarinda District
13909,Heatherton North,10169,Clarinda District
13727,Hughesdale South,10169,Clarinda District
13438,Kingston Heath,10169,Clarinda District
12579,Oakleigh South,10169,Clarinda District
13477,Spring Valley,10169,Clarinda District
13614,Springvale,10169,Clarinda District
13395,Springvale Central,10169,Clarinda District
12629,Springvale North,10169,Clarinda District
12563,Springvale West,10169,Clarinda District
13995,Westall,10169,Clarinda District
13312,Amstel,10178,Cranbourne District
13810,Casey Central,10178,Cranbourne District
13219,Clyde,10178,Cranbourne District
12343,Clyde North,10178,Cranbourne District
12477,Courtenay Gardens,10178,Cranbourne District
13002,Cranbourne,10178,Cranbourne District
12983,Cranbourne East,10178,Cranbourne District
13254,Cranbourne North East,10178,Cranbourne District
13376,Cranbourne North West,10178,Cranbourne District
13723,Cranbourne Park,10178,Cranbourne District
12676,Cranbourne South,10178,Cranbourne District
13730,Cranbourne South West,10178,Cranbourne District
13861,Cranbourne West,10178,Cranbourne District
13906,Lynbrook,10178,Cranbourne District
12690,Lyndhurst,10178,Cranbourne District
13314,Lyndhurst West,10178,Cranbourne District
13756,Rangebank,10178,Cranbourne District
13922,Civic Square,10168,Croydon District
13082,Croydon,10168,Croydon District
12381,Croydon Central,10168,Croydon District
13934,Croydon East,10168,Croydon District
14008,Croydon Hills,10168,Croydon District
13974,Croydon North,10168,Croydon District
12728,Croydon West,10168,Croydon District
12874,Dorset,10168,Croydon District
12319,Kalinda,10168,Croydon District
13953,Kilsyth,10168,Croydon District
13454,Lincoln,10168,Croydon District
12967,Manchester,10168,Croydon District
14002,Mooroolbark,10168,Croydon District
12377,Mooroolbark South,10168,Croydon District
13815,Ringwood North,10168,Croydon District
13024,Tinternvale,10168,Croydon District
13097,Warranwood,10168,Croydon District
13602,Yarra Road,10168,Croydon District
12673,Cleeland,10102,Dandenong District
12732,Dandenong Central,10102,Dandenong District
12716,Dandenong North,10102,Dandenong District
13738,Dandenong South,10102,Dandenong District
13710,Dandenong West,10102,Dandenong District
13389,Doveton North,10102,Dandenong District
13156,Doveton West,10102,Dandenong District
13908,Endeavour Hills,10102,Dandenong District
13193,Endeavour Hills North,10102,Dandenong District
12650,Glen Eagles,10102,Dandenong District
12944,Lyndale,10102,Dandenong District
13893,Rosewood Downs,10102,Dandenong District
13570,Wooranna Park,10102,Dandenong District
13758,Yarraman Oaks,10102,Dandenong District
13762,Alexandra,10176,Eildon District
12327,Arthurs Creek,10176,Eildon District
12394,Badger Creek,10176,Eildon District
13442,Bonnie Doon,10176,Eildon District
13828,Buxton,10176,Eildon District
12609,Dixons Creek,10176,Eildon District
13514,Eildon,10176,Eildon District
12912,Flowerdale,10176,Eildon District
13788,Gladysdale,10176,Eildon District
12554,Glenburn,10176,Eildon District
12691,Healesville,10176,Eildon District
13371,Healesville Central,10176,Eildon District
13440,Hoddles Creek,10176,Eildon District
12474,Jamieson,10176,Eildon District
13353,Kangaroo Ground,10176,Eildon District
13202,Kinglake,10176,Eildon District
12930,Kinglake West,10176,Eildon District
12250,Launching Place,10176,Eildon District
12469,Mansfield,10176,Eildon District
12950,Marysville,10176,Eildon District
13031,Merrijig,10176,Eildon District
12870,Merton,10176,Eildon District
12603,Millgrove,10176,Eildon District
12809,Narbethong,10176,Eildon District
13568,Panton Hill,10176,Eildon District
12882,Piries-Goughs Bay,10176,Eildon District
13611,St Andrews,10176,Eildon District
13857,Taggerty,10176,Eildon District
13010,Thornton,10176,Eildon District
12775,Tolmie,10176,Eildon District
13137,Toolangi,10176,Eildon District
13080,Warburton,10176,Eildon District
13180,Warburton East,10176,Eildon District
12639,Wesburn,10176,Eildon District
13832,Woori Yallock,10176,Eildon District
12857,Yarck,10176,Eildon District
12481,Yarra Glen,10176,Eildon District
12585,Yarra Junction,10176,Eildon District
13402,Yea,10176,Eildon District
13011,Apollo Parkways,10100,Eltham District
12714,Briar Hill,10100,Eltham District
13369,Eltham,10100,Eltham District
13698,Eltham East,10100,Eltham District
13517,Eltham North,10100,Eltham District
12564,Eltham Woods,10100,Eltham District
13877,Glen Katherine,10100,Eltham District
13473,Greenhills,10100,Eltham District
13492,Greensborough,10100,Eltham District
13420,Holy Trinity - Eltham North,10100,Eltham District
12906,Lower Plenty,10100,Eltham District
13972,Montmorency,10100,Eltham District
12419,Montmorency South,10100,Eltham District
12531,Research,10100,Eltham District
12596,Sherbourne,10100,Eltham District
13071,Ascot Vale Central,10124,Essendon District
13679,Ascot Vale East,10124,Essendon District
12409,Ascot Vale West,10124,Essendon District
13884,Buckley Park,10124,Essendon District
13451,Essendon,10124,Essendon District
12957,Essendon North,10124,Essendon District
12423,Essendon West,10124,Essendon District
12594,Flemington,10124,Essendon District
13427,Glenbervie,10124,Essendon District
12684,Moonee Ponds,10124,Essendon District
13891,Moonee Ponds Central,10124,Essendon District
13319,Moonee Ponds West,10124,Essendon District
12741,Newmarket,10124,Essendon District
13162,Strathmore,10124,Essendon District
12259,Strathmore North,10124,Essendon District
12675,Arcadia,10146,Euroa District
13902,Avenel,10146,Euroa District
12591,Baddaginnie,10146,Euroa District
12860,Benalla,10146,Euroa District
13055,Benalla West,10146,Euroa District
13896,Broadford,10146,Euroa District
13495,Byrneside,10146,Euroa District
13555,Caniambo,10146,Euroa District
12995,Clonbinane,10146,Euroa District
13184,Colbinabbin,10146,Euroa District
12846,Cooma,10146,Euroa District
13370,Devenish,10146,Euroa District
12284,Dhurringile,10146,Euroa District
12275,Euroa,10146,Euroa District
12746,Girgarre,10146,Euroa District
13534,Goorambat,10146,Euroa District
12359,Heathcote,10146,Euroa District
13700,Kilmore,10146,Euroa District
13661,Longwood,10146,Euroa District
12228,Lurg,10146,Euroa District
12301,Merrigum,10146,Euroa District
12972,Murchison,10146,Euroa District
13072,Nagambie,10146,Euroa District
12496,Puckapunyal,10146,Euroa District
12795,Pyalong,10146,Euroa District
13848,Redesdale,10146,Euroa District
12990,Ruffy,10146,Euroa District
13610,Rushworth,10146,Euroa District
12739,Seymour,10146,Euroa District
13567,Seymour East,10146,Euroa District
12222,Stanhope,10146,Euroa District
13500,Strathbogie,10146,Euroa District
12984,Swanpool,10146,Euroa District
13919,Tallarook,10146,Euroa District
13209,Tatong,10146,Euroa District
13808,Thoona,10146,Euroa District
12952,Tooborac,10146,Euroa District
13771,Toolleen,10146,Euroa District
12296,Violet Town,10146,Euroa District
13545,Wandong,10146,Euroa District
12370,Bimbadeen,10177,Evelyn District
13584,Chirnside Park,10177,Evelyn District
12310,Coldstream,10177,Evelyn District
12841,Croydon North,10177,Evelyn District
13211,Gruyere,10177,Evelyn District
12917,Lilydale,10177,Evelyn District
13763,Lilydale Heights,10177,Evelyn District
13165,Lilydale Lake,10177,Evelyn District
12251,Lilydale West,10177,Evelyn District
12815,Manchester,10177,Evelyn District
13702,Mount Evelyn,10177,Evelyn District
13740,Mt Evelyn South,10177,Evelyn District
13048,Rolling Hills,10177,Evelyn District
13390,Seville,10177,Evelyn District
12432,Wandin Yallock,10177,Evelyn District
